,principal component 1,principal component 2,Sample Type
0,-2.1017823925291945,-0.25651274342689084,Control
1,-1.129384062372699,-2.286789659068355,Control
2,-2.097733512959989,-1.7667788616531477,Control
3,-0.6009613802256142,-1.1665250125654791,Control
4,-0.37792312283461,-1.2996819194451061,Control
5,-1.9328617915813722,-0.23513027504845138,Control
6,-1.4903932645845197,-3.2751684806882038,Control
7,-2.017835748922848,-0.8346288306831309,Control
8,-1.314136183104743,-2.956785949295273,Control
9,-1.807731129656915,-0.590492741006158,Control
10,-2.5022746600947556,-2.4187779581532465,Control
11,-0.3358946340004491,-3.342522764484602,Control
12,-2.049408717579203,-1.4310770361306129,Control
13,-1.2315894724410243,-2.347613656362891,Control
14,-1.7158426008352103,-0.25420006859891026,Control
15,-0.7884302042344142,-3.3683898539904362,Control
16,-1.230206801946621,-1.1830567062346427,Control
17,-2.3366538362993317,-0.46964589890347674,Control
18,-2.7601365851486612,-0.6316232025622023,Control
19,-0.8148858758212486,-1.9266617326033624,Control
20,-0.28965520356221053,0.34957605074847237,Control
21,-1.54206609259722,-0.230377373163542,Control
22,-2.9877286002727,-0.6576770567474564,Control
23,-1.4857408897611646,-0.7697054808552001,Control
24,-2.4680674925399657,-0.11685158852759626,Control
25,-1.7484462096879736,-2.527819867222576,Control
26,-0.8585643645418157,-1.3819318159734222,Control
27,-1.6088009920371378,0.041676628308288166,Control
28,-2.1409899415694666,0.20200835605547462,Control
29,-2.4493552050274694,0.39051259777555924,Control
30,1.6386783952244743,-0.3537340392877087,
31,-1.1434577900885483,0.14767414950765884,
32,-1.2443794702055742,1.6961799520179877,
33,-0.18552498206567203,1.5043805186393053,
34,-1.6651867065862223,1.807281211778571,
35,-1.4267558947865806,1.1204915943455185,
36,-0.9882959741974925,0.22111008611818891,
37,-1.4521069705527025,0.706610068384364,
38,-1.0871666864686933,0.43717682127541174,
39,0.09505740764666044,0.5201380229955009,KP 
40,6.669184654040428,-1.4709526523494654,KP 
41,6.8827739897807,-1.8558019156588779,KP 
42,6.06483198324061,-2.0124608563503354,KP 
43,5.886996423862724,-0.8262868380329826,KP 
44,3.9051068923346777,0.7457954347121692,KP 
45,2.5527956966315823,-0.09076634207554779,KP 
46,3.5959431054177364,0.07631113023011825,KP 
47,3.1497676384185516,1.1532545723863132,KP 
48,1.997509573447104,0.49952521471906164,KP 
49,3.752002167700029,-0.5843922126164769,
50,2.724272996972131,-0.6573091678326803,
51,2.4508582080649717,1.544047764023003,
52,1.821932182880087,-2.0429331126024444,
53,-0.8405110688638615,1.4904671091871071,
54,0.24107715601963797,4.118015424599368,
55,-0.29230674219525854,5.323008004860598,
56,-1.0723849931131444,6.744496357611361,
57,0.1634681083254539,2.5657333026008264,PA14
58,-1.2626461708156407,5.374119451760213,PA14
59,2.8749737404767335,-0.2697355347138821,PA14
60,0.5671760872359991,4.555996101691774,PA14
61,0.32867020298215444,2.117537129068468,PR8
62,3.513127808007493,2.4376761495140897,PR8
63,,,PR8
64,,,PR8
65,,,PR8
66,,,PR8
67,,,PR8
68,,,PR8
69,,,PR8
70,,,PVM
71,,,PVM
72,,,PVM
73,,,PVM
74,,,PVM
75,,,PVM
76,,,PVM
77,,,PVM
78,,,PVM
79,,,PVM
